you	ˈju
i	ˈaɪ
the	ðə
to	ˈtu
a	ə
's	ˈɛs
it	ˈɪt
and	ənd
that	ˈðæt
of	ˈʌv
is	ˈɪz
in	ɪn
what	ˈwʌt
we	ˈwi
me	ˈmi
this	ˈðɪs
he	ˈhi
for	ˈfɔɹ
my	ˈmaɪ
on	ˈɑn
have	ˈhæv
your	ˈjɔɹ
do	ˈdu
was	ˈwɑz
'm	əm
no	ˈnoʊ
not	ˈnɑt
be	ˈbi
are	ˈɑɹ
don	ˈdɑn
know	ˈnoʊ
can	ˈkæn
with	ˈwɪð
but	ˈbʌt
all	ˈɔl
so	ˈsoʊ
just	ˈdʒʌst
there	ˈðɛɹ
here	ˈhiɹ
they	ˈðeɪ
like	ˈlaɪk
get	ˈɡɛt
she	ˈʃi
go	ˈɡoʊ
if	ˈɪf
right	ˈɹaɪt
out	ˈaʊt
about	əˈbaʊt
up	ˈʌp
at	ˈæt
him	ˈhɪm
now	ˈnaʊ
oh	ˈoʊ
one	ˈwʌn
come	ˈkʌm
well	ˈwɛl
her	ˈhɝ
how	ˈhaʊ
yeah	ˈjæ
will	ˈwɪl
got	ˈɡɑt
want	ˈwɑnt
think	ˈθɪŋk
as	ˈæz
see	ˈsi
did	ˈdɪd
good	ˈɡʊd
who	ˈhu
why	ˈwaɪ
from	ˈfɹʌm
let	ˈlɛt
his	ˈhɪz
yes	ˈjɛs
when	ˈwɛn
going	ˈɡoʊɪŋ
time	ˈtaɪm
an	ˈæn
okay	ˌoʊˈkeɪ
back	ˈbæk
look	ˈlʊk
us	ˈʌs
would	ˈwʊd
them	ˈðɛm
where	ˈwɛɹ
were	ˈwɝ
take	ˈteɪk
then	ˈðɛn
had	ˈhæd
or	ˈɔɹ
been	ˈbɪn
our	ˈaʊɚ
gonna	ˈɡɑnə
tell	ˈtɛl
really	ˈɹɪli
man	ˈmæn
some	ˈsʌm
say	ˈseɪ
hey	ˈheɪ
could	ˈkʊd
by	ˈbaɪ
need	ˈnid
something	ˈsʌmθɪŋ
has	ˈhæz
too	ˈtu
more	ˈmɔɹ
way	ˈweɪ
down	ˈdaʊn
make	ˈmeɪk
very	ˈvɛɹi
never	ˈnɛvɚ
only	ˈoʊnli
people	ˈpipəl
over	ˈoʊvɚ
because	bɪˈkɔz
little	ˈlɪtəl
please	ˈpliz
love	ˈlʌv
should	ˈʃʊd
mean	ˈmin
said	ˈsɛd
sorry	ˈsɑɹi
give	ˈɡɪv
off	ˈɔf
am	ˈæm
thank	ˈθæŋk
any	ˈɛni
two	ˈtu
even	ˈivɪn
much	ˈmʌtʃ
doing	ˈduɪŋ
sure	ˈʃʊɹ
thing	ˈθɪŋ
these	ˈðiz
help	ˈhɛlp
